pond family id treatment sex sl region size
5 2 15 NP M 55.28 optic_size 171.292421682806
5 2 16 NP M 59.78 optic_size 223.006985763654
5 2 17 NP M 58.51 optic_size 184.806751639421
5 2 18 NP M 62.19 optic_size 187.72805690683
5 2 19 NP F 57.33 optic_size 185.96017710785
5 2 2 NP M 52.95 optic_size 181.199277036269
5 2 20 NP F 51.11 optic_size 202.613945451155
5 2 21 NP F 55.83 optic_size 191.643963293195
5 2 22 NP F 56.72 optic_size 226.128886160226
5 2 23 NP F 56.72 optic_size 173.453029584487
5 2 24 NP F 56.62 optic_size 160.230817084611
5 2 25 NP F 62.05 optic_size 222.536917204921
5 2 3 NP F 48.01 optic_size 140.096724783825
5 2 4 NP M 54.93 optic_size 162.577945542252
5 2 6 NP M 62.49 optic_size 194.604283419811
6 1 1 NP F 59.3 optic_size 174.295500693378
6 2 1 NP M 58 optic_size 212.170543562018
6 2 10 NP M 54.8 optic_size 134.300784045323
6 2 11 NP M 53.1 optic_size 177.566087727747
6 2 12 NP M 58.8 optic_size 208.361083376133
6 2 13 NP F 57.4 optic_size 223.144868612758
6 2 14 NP M 55.8 optic_size 210.245598156539
6 2 15 NP M 60.3 optic_size 153.531298187596
6 2 15 NP M 60.3 optic_size 153.531298187596
6 2 2 NP F 58.6 optic_size 200.672329347204
6 2 3 NP M 54 optic_size 230.671440589831
6 2 7 NP F 60.1 optic_size 247.271466400778
6 2 9 NP F 62.2 optic_size 280.552077947202
7 1 10 P M 50.4 optic_size 127.358373007216
7 1 11 P M 53.66 optic_size 106.671756181631
7 1 12 P F 54.35 optic_size 145.539651206358
7 1 13 P F 62.19 optic_size 161.624201159462
7 1 14 P F 64.59 optic_size 166.354439849555
7 1 15 P F 48.38 optic_size 108.338838976705
7 1 16 P F 48.32 optic_size 89.9656273654285
7 1 19 P M 43.08 optic_size 103.75934408185
7 1 20 P F 51.79 optic_size 133.340820193941
7 1 21 P F 45.46 optic_size 113.364899059097
7 1 22 P M 44.84 optic_size 136.716116724091
7 1 23 P M 51.54 optic_size 157.549546658912
7 1 24 P F 46.85 optic_size 120.831083149652
7 1 26 P M 50.18 optic_size 144.926612096197
7 1 27 P M 47.3 optic_size 131.744511578564
7 1 272 P NA NA optic_size 95.4542345466611
7 1 30 P NA 46.72 optic_size 124.754623171636
7 1 31 P NA 62.27 optic_size 166.768838436858
7 1 312 P NA NA optic_size 122.300941547013
